timestamp,traffic_mbps,latency_ms,packet_loss_rate,cpu_usage,memory_usage,disk_io_mbps,network_errors,temperature_c,is_anomaly,anomaly_score
2025-08-05 16:12:22,532.39,3.01,0.0016,0.351,0.453,49.4,1,39.5,False,0.0
2025-08-05 16:17:22,413.83,3.36,0.0025,0.425,0.455,55.8,0,44.7,False,0.0
2025-08-05 16:22:22,291.42,3.87,0.0019,0.367,0.426,56.2,0,40.1,False,0.0
2025-08-05 16:27:22,388.21,3.33,0.0021,0.295,0.392,46.0,1,38.7,False,0.0
2025-08-05 16:32:22,472.31,3.09,0.0021,0.328,0.432,57.8,2,41.8,False,0.0
2025-08-05 16:37:22,599.67,4.18,0.0016,0.325,0.412,31.2,1,36.5,False,0.0
2025-08-05 16:42:22,301.37,3.26,0.0023,0.415,0.488,76.3,2,43.9,False,0.0
2025-08-05 16:47:22,416.85,3.23,0.0015,0.384,0.451,61.1,1,40.4,False,0.0
2025-08-05 16:52:22,454.8,3.1,0.0018,0.398,0.427,58.4,2,43.1,False,0.0
2025-08-05 16:57:22,577.69,3.25,0.0017,0.444,0.481,76.2,1,41.3,False,0.0
2025-08-05 17:02:22,355.52,2.89,0.0028,0.378,0.438,54.4,0,42.6,False,0.0
2025-08-05 17:07:22,296.45,3.46,0.0019,0.344,0.373,49.6,3,42.6,False,0.0
2025-08-05 17:12:22,300.88,2.99,0.0022,0.333,0.371,52.4,1,39.4,False,0.0
2025-08-05 17:17:22,361.96,3.39,0.0019,0.437,0.465,59.3,0,39.5,False,0.0
2025-08-05 17:22:22,371.91,2.74,0.0013,0.325,0.432,29.7,1,39.7,False,0.0
2025-08-05 17:27:22,533.52,2.96,0.0019,0.365,0.469,51.2,1,37.4,False,0.0
2025-08-05 17:32:22,387.03,1.92,0.0024,0.285,0.415,58.2,1,41.7,False,0.0
2025-08-05 17:37:22,240.61,2.64,0.0013,0.302,0.388,67.1,2,40.2,False,0.0
2025-08-05 17:42:22,559.0,3.29,0.0015,0.325,0.404,38.7,2,38.2,False,0.0
2025-08-05 17:47:22,447.34,2.7,0.0018,0.305,0.396,51.0,2,35.1,False,0.0
2025-08-05 17:52:22,391.01,3.4,0.0023,0.286,0.417,56.1,1,35.2,False,0.0
2025-08-05 17:57:22,482.8,3.16,0.0006,0.312,0.415,35.9,1,40.2,False,0.0
2025-08-05 18:02:22,120.36,2.12,0.001,0.089,0.366,23.1,0,35.5,False,0.0
2025-08-05 18:07:22,234.24,0.86,0.001,0.137,0.349,37.4,1,31.6,False,0.0
2025-08-05 18:12:22,211.55,2.89,0.0013,0.114,0.328,37.2,0,34.0,False,0.0
2025-08-05 18:17:22,138.83,1.0,0.0016,0.094,0.366,26.9,1,36.3,False,0.0
2025-08-05 18:22:22,173.98,2.94,0.0016,0.097,0.364,7.6,2,32.9,False,0.0
2025-08-05 18:27:22,218.02,2.27,0.0012,0.139,0.424,35.8,0,34.2,False,0.0
2025-08-05 18:32:22,238.94,1.67,0.0014,0.084,0.348,31.7,0,36.0,False,0.0
2025-08-05 18:37:22,136.94,2.48,0.0009,0.151,0.401,39.3,0,39.4,False,0.0
2025-08-05 18:42:22,30.21,2.85,0.0017,0.105,0.35,19.2,1,33.0,False,0.0
2025-08-05 18:47:22,230.57,2.21,0.0016,0.12,0.314,18.6,3,38.7,False,0.0
2025-08-05 18:52:22,176.97,2.65,0.0006,0.184,0.369,34.2,1,31.6,False,0.0
2025-08-05 18:57:22,40.12,1.99,0.0017,0.171,0.344,22.1,1,33.5,False,0.0
2025-08-05 19:02:22,0.0,2.08,0.0013,0.146,0.414,45.9,0,30.6,False,0.0
2025-08-05 19:07:22,216.78,1.98,0.0009,0.24,0.398,44.2,0,35.9,False,0.0
2025-08-05 19:12:22,129.56,1.84,0.0014,0.084,0.312,29.5,1,24.2,False,0.0
2025-08-05 19:17:22,262.77,1.52,0.0015,0.126,0.343,31.1,0,34.7,False,0.0
2025-08-05 19:22:22,146.5,2.08,0.0016,0.533,0.562,27.6,0,53.8,True,0.0
2025-08-05 19:27:22,85.12,1.93,0.0013,0.152,0.333,37.6,1,34.6,False,0.0
2025-08-05 19:32:22,222.9,1.96,0.0016,0.049,0.347,23.0,1,29.1,False,0.0
2025-08-05 19:37:22,62.77,2.49,0.0007,0.174,0.304,19.8,2,32.7,False,0.0
2025-08-05 19:42:22,253.19,2.09,0.0012,0.179,0.436,44.6,0,35.0,False,0.0
2025-08-05 19:47:22,160.73,1.47,0.0015,0.51,0.703,43.1,1,51.9,True,0.0
2025-08-05 19:52:22,308.69,2.62,0.0005,0.048,0.3,25.0,0,30.1,False,0.0
2025-08-05 19:57:22,191.33,1.8,0.0007,0.065,0.286,16.8,1,34.8,False,0.0
2025-08-05 20:02:22,191.69,2.23,0.0017,0.046,0.318,18.0,1,30.1,False,0.0
2025-08-05 20:07:22,203.47,2.12,0.0023,0.091,0.391,36.2,2,30.6,False,0.0
2025-08-05 20:12:22,125.89,2.02,0.0014,0.153,0.367,22.0,3,36.3,False,0.0
2025-08-05 20:17:22,220.8,1.38,0.0014,0.163,0.369,40.8,4,33.4,False,0.0
2025-08-05 20:22:22,71.65,2.39,0.0009,0.186,0.367,40.0,0,39.0,False,0.0
2025-08-05 20:27:22,199.79,2.57,0.0016,0.055,0.339,32.6,2,31.5,False,0.0
2025-08-05 20:32:22,143.28,0.9,0.0019,0.138,0.305,16.2,1,32.5,False,0.0
2025-08-05 20:37:22,119.68,1.64,0.001,0.121,0.355,47.6,0,30.0,False,0.0
2025-08-05 20:42:22,262.81,2.03,0.0014,0.156,0.329,39.4,1,34.4,False,0.0
2025-08-05 20:47:22,223.46,1.36,0.0015,0.096,0.321,35.2,0,30.5,False,0.0
2025-08-05 20:52:22,154.19,1.55,0.0018,0.175,0.38,33.7,0,35.0,False,0.0
2025-08-05 20:57:22,62.81,1.72,0.0015,0.104,0.359,35.8,1,35.9,False,0.0
2025-08-05 21:02:22,87.43,1.82,0.0014,0.229,0.376,45.2,2,39.3,False,0.0
2025-08-05 21:07:22,225.22,2.53,0.0024,0.169,0.357,42.8,4,37.5,False,0.0
2025-08-05 21:12:22,308.35,2.51,0.0014,0.147,0.395,26.5,0,34.9,False,0.0
2025-08-05 21:17:22,229.81,2.28,0.0015,0.071,0.351,33.6,1,38.3,False,0.0
2025-08-05 21:22:22,240.81,2.21,0.0021,0.067,0.332,30.8,0,34.9,False,0.0
2025-08-05 21:27:22,498.6,1.28,0.0019,0.115,0.35,225.9,0,31.3,True,0.0
2025-08-05 21:32:22,61.69,1.98,0.0008,0.131,0.372,42.9,0,34.0,False,0.0
2025-08-05 21:37:22,152.65,2.08,0.0009,0.134,0.372,21.1,0,38.3,False,0.0
2025-08-05 21:42:22,269.6,2.08,0.0011,0.106,0.345,28.3,1,34.2,False,0.0
2025-08-05 21:47:22,857.99,2.36,0.0017,0.168,0.381,233.7,0,38.2,True,0.0
2025-08-05 21:52:22,143.66,3.09,0.0014,0.068,0.331,20.0,0,29.8,False,0.0
2025-08-05 21:57:22,277.43,1.96,0.0002,0.06,0.347,33.9,1,32.8,False,0.0
2025-08-05 22:02:22,194.57,2.05,0.0027,0.161,0.38,53.9,0,34.6,False,0.0
2025-08-05 22:07:22,52.3,2.12,0.0015,0.153,0.339,37.2,2,30.6,False,0.0
2025-08-05 22:12:22,237.68,1.85,0.0024,0.18,0.384,44.8,1,34.8,False,0.0
2025-08-05 22:17:22,291.65,3.29,0.0012,0.249,0.405,38.3,1,34.8,False,0.0
2025-08-05 22:22:22,133.11,1.99,0.0018,0.218,0.476,40.9,1,32.1,False,0.0
2025-08-05 22:27:22,260.78,2.12,0.0007,0.182,0.392,33.3,0,39.3,False,0.0
2025-08-05 22:32:22,233.59,2.77,0.0023,0.139,0.388,33.5,2,35.9,False,0.0
2025-08-05 22:37:22,229.98,2.99,0.0022,0.13,0.364,38.0,0,34.0,False,0.0
2025-08-05 22:42:22,213.59,2.84,0.0018,0.143,0.38,5.8,0,30.1,False,0.0
2025-08-05 22:47:22,241.17,1.6,0.0021,0.138,0.366,33.4,0,34.9,False,0.0
2025-08-05 22:52:22,221.78,1.61,0.002,0.137,0.308,29.4,2,36.0,False,0.0
2025-08-05 22:57:22,313.44,2.44,0.0017,0.213,0.392,38.7,0,34.7,False,0.0
2025-08-05 23:02:22,294.65,2.35,0.0019,0.184,0.376,18.4,0,35.0,False,0.0
2025-08-05 23:07:22,272.64,2.82,0.0001,0.292,0.413,60.3,0,34.2,False,0.0
2025-08-05 23:12:22,186.54,3.28,0.0015,0.199,0.406,44.8,2,37.9,False,0.0
2025-08-05 23:17:22,261.05,2.88,0.0021,0.22,0.354,58.3,0,32.1,False,0.0
2025-08-05 23:22:22,231.31,2.49,0.0017,0.209,0.432,45.4,1,38.8,False,0.0
2025-08-05 23:27:22,138.23,2.68,0.0019,0.252,0.393,46.4,0,33.2,False,0.0
2025-08-05 23:32:22,134.2,1.5,0.0011,0.265,0.36,43.5,1,37.1,False,0.0
2025-08-05 23:37:22,180.43,1.98,0.0027,0.237,0.385,18.7,0,42.8,False,0.0
2025-08-05 23:42:22,125.27,1.5,0.0021,0.31,0.465,56.6,3,40.0,False,0.0
2025-08-05 23:47:22,258.93,2.23,0.0018,0.186,0.346,29.9,0,31.7,False,0.0
2025-08-05 23:52:22,83.47,2.52,0.0023,0.226,0.372,26.8,0,37.3,False,0.0
2025-08-05 23:57:22,158.97,3.25,0.0017,0.196,0.35,53.5,1,34.7,False,0.0
2025-08-06 00:02:22,273.18,2.67,0.0016,0.222,0.368,35.5,1,31.8,False,0.0
2025-08-06 00:07:22,207.97,2.8,0.0013,0.31,0.399,53.4,1,35.4,False,0.0
2025-08-06 00:12:22,314.1,2.61,0.0015,0.213,0.387,39.8,1,33.7,False,0.0
2025-08-06 00:17:22,153.81,2.56,0.0016,0.24,0.373,29.7,3,30.3,False,0.0
2025-08-06 00:22:22,308.92,3.21,0.0014,0.209,0.366,30.8,0,33.5,False,0.0
2025-08-06 00:27:22,247.6,2.52,0.0008,0.236,0.419,23.7,0,37.0,False,0.0
2025-08-06 00:32:22,397.2,2.61,0.0012,0.217,0.403,42.4,0,32.4,False,0.0
2025-08-06 00:37:22,313.75,2.34,0.0011,0.183,0.41,49.2,1,36.4,False,0.0
2025-08-06 00:42:22,269.24,2.79,0.0016,0.281,0.39,50.3,1,38.5,False,0.0
2025-08-06 00:47:22,309.99,2.01,0.0009,0.128,0.366,21.7,1,26.7,False,0.0
2025-08-06 00:52:22,283.5,2.4,0.0014,0.243,0.384,55.9,4,35.5,False,0.0
2025-08-06 00:57:22,202.94,1.88,0.0023,0.222,0.394,40.0,3,36.1,False,0.0
2025-08-06 01:02:22,286.95,1.82,0.0011,0.233,0.375,41.4,0,37.3,False,0.0
2025-08-06 01:07:22,290.44,2.51,0.0007,0.201,0.376,28.0,2,36.8,False,0.0
2025-08-06 01:12:22,269.05,3.22,0.0017,0.231,0.374,40.1,1,36.3,False,0.0
2025-08-06 01:17:22,286.37,1.71,0.0021,0.273,0.478,36.8,2,36.2,False,0.0
2025-08-06 01:22:22,382.75,2.32,0.0021,0.286,0.414,46.9,1,39.7,False,0.0
2025-08-06 01:27:22,222.41,1.74,0.0017,0.247,0.416,45.9,2,33.3,False,0.0
2025-08-06 01:32:22,250.66,2.04,0.0016,0.333,0.392,37.2,1,36.3,False,0.0
2025-08-06 01:37:22,369.31,1.68,0.0014,0.243,0.425,58.5,2,39.7,False,0.0
2025-08-06 01:42:22,190.82,2.51,0.0017,0.334,0.427,54.3,0,37.3,False,0.0
2025-08-06 01:47:22,300.9,2.08,0.0023,0.199,0.34,46.7,0,38.4,False,0.0
2025-08-06 01:52:22,308.73,2.12,0.0013,0.292,0.435,62.3,1,38.1,False,0.0
2025-08-06 01:57:22,212.07,2.71,0.0027,0.216,0.414,42.1,2,36.2,False,0.0
2025-08-06 02:02:22,278.1,2.13,0.0012,0.176,0.432,26.6,1,33.7,False,0.0
2025-08-06 02:07:22,285.15,1.88,0.0022,0.29,0.424,57.3,2,34.8,False,0.0
2025-08-06 02:12:22,224.19,2.8,0.0019,0.276,0.408,46.7,2,40.6,False,0.0
2025-08-06 02:17:22,309.0,3.7,0.0022,0.179,0.374,56.1,3,36.4,False,0.0
2025-08-06 02:22:22,290.58,2.12,0.0014,0.304,0.472,54.3,1,41.2,False,0.0
2025-08-06 02:27:22,258.52,1.83,0.0011,0.252,0.376,37.0,3,30.0,False,0.0
2025-08-06 02:32:22,185.25,3.18,0.0014,0.402,0.444,62.1,1,46.2,False,0.0
2025-08-06 02:37:22,403.97,2.24,0.0021,0.274,0.449,58.6,2,34.9,False,0.0
2025-08-06 02:42:22,272.75,2.11,0.0013,0.268,0.421,33.1,4,40.4,False,0.0
2025-08-06 02:47:22,353.87,3.12,0.0015,0.334,0.376,40.9,0,39.4,False,0.0
2025-08-06 02:52:22,265.08,2.94,0.0008,0.283,0.444,46.3,1,36.5,False,0.0
2025-08-06 02:57:22,418.54,2.54,0.0026,0.357,0.429,49.7,1,40.3,False,0.0
2025-08-06 03:02:22,353.76,2.67,0.0013,0.252,0.412,43.0,0,39.1,False,0.0
2025-08-06 03:07:22,261.23,2.35,0.0017,0.302,0.387,32.6,1,34.5,False,0.0
2025-08-06 03:12:22,330.84,2.87,0.001,0.271,0.432,34.5,0,32.8,False,0.0
2025-08-06 03:17:22,518.67,1.8,0.0023,0.26,0.38,48.0,1,40.0,False,0.0
2025-08-06 03:22:22,301.84,2.69,0.0019,0.388,0.453,50.5,1,38.3,False,0.0
2025-08-06 03:27:22,486.28,2.92,0.0028,0.298,0.397,48.0,0,41.6,False,0.0
2025-08-06 03:32:22,273.8,2.21,0.0015,0.249,0.403,61.2,0,35.2,False,0.0
2025-08-06 03:37:22,366.4,3.05,0.0017,0.288,0.511,51.8,1,34.9,False,0.0
2025-08-06 03:42:22,179.02,2.71,0.0019,0.366,0.482,61.9,1,35.5,False,0.0
2025-08-06 03:47:22,334.9,2.29,0.0023,0.28,0.4,38.5,1,38.3,False,0.0
2025-08-06 03:52:22,340.8,2.73,0.002,0.297,0.427,49.3,2,36.9,False,0.0
2025-08-06 03:57:22,404.34,2.63,0.0016,0.387,0.461,50.6,3,41.5,False,0.0
2025-08-06 04:02:22,444.8,2.6,0.0007,0.284,0.453,48.2,0,38.7,False,0.0
2025-08-06 04:07:22,272.24,2.54,0.0016,0.295,0.39,65.6,2,36.4,False,0.0
2025-08-06 04:12:22,371.73,2.65,0.0013,0.331,0.397,65.0,1,39.1,False,0.0
2025-08-06 04:17:22,1534.62,2.41,0.0022,0.383,0.484,286.7,0,40.0,True,0.0
2025-08-06 04:22:22,397.32,2.99,0.0012,0.356,0.451,62.1,1,33.8,False,0.0
2025-08-06 04:27:22,157.28,1.57,0.0022,0.288,0.412,52.1,0,37.8,False,0.0
2025-08-06 04:32:22,380.48,2.53,0.0021,0.345,0.41,65.4,1,39.7,False,0.0
2025-08-06 04:37:22,486.49,1.72,0.0016,0.234,0.417,53.9,0,33.3,False,0.0
2025-08-06 04:42:22,373.7,3.11,0.0022,0.325,0.452,46.0,0,38.3,False,0.0
2025-08-06 04:47:22,432.39,2.83,0.0024,0.328,0.45,59.3,1,46.3,False,0.0
2025-08-06 04:52:22,380.33,3.35,0.0017,0.362,0.493,69.4,2,36.2,False,0.0
2025-08-06 04:57:22,341.85,3.75,0.0017,0.321,0.445,52.5,1,43.1,False,0.0
2025-08-06 05:02:22,313.04,1.59,0.0017,0.566,0.61,29.8,0,47.4,True,0.0
2025-08-06 05:07:22,231.6,3.23,0.0015,0.35,0.522,58.7,1,38.2,False,0.0
2025-08-06 05:12:22,322.68,2.29,0.0023,0.327,0.488,52.1,1,36.0,False,0.0
2025-08-06 05:17:22,227.11,3.11,0.0017,0.364,0.492,65.6,2,37.5,False,0.0
2025-08-06 05:22:22,359.8,2.38,0.0014,0.343,0.412,32.2,1,43.1,False,0.0
2025-08-06 05:27:22,308.93,2.58,0.0015,0.334,0.447,42.5,1,42.6,False,0.0
2025-08-06 05:32:22,364.74,3.07,0.002,0.357,0.445,48.3,0,38.8,False,0.0
2025-08-06 05:37:22,331.56,4.03,0.0016,0.228,0.413,51.3,2,39.6,False,0.0
2025-08-06 05:42:22,272.7,2.14,0.0017,0.397,0.475,64.6,2,42.3,False,0.0
2025-08-06 05:47:22,208.32,3.48,0.0022,0.276,0.455,45.1,0,33.3,False,0.0
2025-08-06 05:52:22,271.05,2.47,0.0018,0.317,0.385,63.9,0,32.9,False,0.0
2025-08-06 05:57:22,283.74,1.88,0.0024,0.42,0.454,61.5,0,37.1,False,0.0
2025-08-06 06:02:22,343.03,2.9,0.0013,0.311,0.37,47.6,1,37.5,False,0.0
2025-08-06 06:07:22,369.52,3.29,0.002,0.324,0.443,36.7,1,34.7,False,0.0
2025-08-06 06:12:22,477.02,2.83,0.0017,0.391,0.424,50.3,0,39.3,False,0.0
2025-08-06 06:17:22,313.43,2.73,0.002,0.377,0.396,56.0,1,36.1,False,0.0
2025-08-06 06:22:22,439.27,3.68,0.0012,0.354,0.428,54.3,1,39.6,False,0.0
2025-08-06 06:27:22,388.61,2.52,0.0019,0.296,0.445,48.4,3,33.9,False,0.0
2025-08-06 06:32:22,278.74,2.37,0.0015,0.398,0.395,91.2,3,41.5,False,0.0
2025-08-06 06:37:22,402.81,3.28,0.0017,0.322,0.459,75.6,1,38.6,False,0.0
2025-08-06 06:42:22,441.13,3.17,0.0014,0.35,0.411,41.2,1,41.6,False,0.0
2025-08-06 06:47:22,392.24,2.96,0.0022,0.35,0.422,62.0,3,42.3,False,0.0
2025-08-06 06:52:22,338.15,2.33,0.0015,0.322,0.405,49.1,2,38.1,False,0.0
2025-08-06 06:57:22,399.89,2.7,0.0014,0.362,0.473,40.1,0,36.8,False,0.0
2025-08-06 07:02:22,414.56,2.59,0.0017,0.225,0.409,30.1,2,33.1,False,0.0
2025-08-06 07:07:22,375.01,1.18,0.0019,0.416,0.503,63.6,0,38.9,False,0.0
2025-08-06 07:12:22,386.31,2.94,0.0023,0.463,0.497,61.3,0,36.1,False,0.0
2025-08-06 07:17:22,345.96,2.43,0.0019,0.284,0.447,48.4,0,37.1,False,0.0
2025-08-06 07:22:22,321.97,2.77,0.0022,0.282,0.393,45.2,0,39.2,False,0.0
2025-08-06 07:27:22,309.15,2.82,0.0019,0.368,0.443,60.7,0,38.9,False,0.0
2025-08-06 07:32:22,153.1,2.62,0.0025,0.372,0.478,69.5,4,39.9,False,0.0
2025-08-06 07:37:22,325.43,2.62,0.0016,0.326,0.448,38.1,0,31.2,False,0.0
2025-08-06 07:42:22,307.55,2.62,0.0016,0.398,0.469,62.8,0,38.8,False,0.0
2025-08-06 07:47:22,516.51,3.03,0.0013,0.248,0.424,48.5,1,33.5,False,0.0
2025-08-06 07:52:22,472.05,2.31,0.0019,0.318,0.401,37.7,0,38.1,False,0.0
2025-08-06 07:57:22,268.03,1.93,0.0012,0.315,0.347,59.3,1,30.6,False,0.0
2025-08-06 08:02:22,341.23,2.93,0.0012,0.37,0.47,64.2,2,38.5,False,0.0
2025-08-06 08:07:22,354.81,2.71,0.0025,0.253,0.357,46.9,1,36.5,False,0.0
2025-08-06 08:12:22,393.05,3.0,0.0006,0.268,0.395,45.0,0,36.4,False,0.0
2025-08-06 08:17:22,207.98,2.31,0.0018,0.341,0.438,52.1,0,36.6,False,0.0
2025-08-06 08:22:22,366.54,2.16,0.002,0.385,0.464,54.8,1,36.1,False,0.0
2025-08-06 08:27:22,978.72,2.54,0.002,0.364,0.443,414.4,0,39.6,True,0.0
2025-08-06 08:32:22,210.82,2.75,0.0028,0.315,0.42,47.9,2,36.2,False,0.0
2025-08-06 08:37:22,332.79,1.95,0.0016,0.293,0.435,33.3,1,38.7,False,0.0
2025-08-06 08:42:22,352.45,2.68,0.002,0.285,0.415,54.3,2,42.6,False,0.0
2025-08-06 08:47:22,870.71,3.36,0.0024,0.326,0.394,324.3,0,42.8,True,0.0
2025-08-06 08:52:22,283.78,2.12,0.002,0.35,0.435,46.3,0,45.1,False,0.0
2025-08-06 08:57:22,319.67,2.28,0.001,0.247,0.351,47.2,2,36.6,False,0.0
2025-08-06 09:02:22,771.28,3.23,0.0034,1.0,0.984,96.9,1,60.4,True,0.6
2025-08-06 09:07:22,741.37,4.08,0.003,0.99,0.649,135.2,0,55.1,False,0.3
2025-08-06 09:12:22,723.63,4.49,0.0026,0.967,0.643,116.6,1,56.8,False,0.3
2025-08-06 09:17:22,705.1,4.03,0.003,0.955,0.671,110.7,2,56.7,False,0.3
2025-08-06 09:22:22,747.52,4.55,0.0024,0.808,0.644,75.2,0,46.9,False,0.3
2025-08-06 09:27:22,651.9,4.63,0.0031,0.879,0.685,97.2,2,48.4,False,0.3
2025-08-06 09:32:22,855.54,3.16,0.0024,0.903,0.715,114.1,0,53.8,False,0.3
2025-08-06 09:37:22,850.89,3.23,0.0031,0.94,0.7,114.3,1,50.6,False,0.3
2025-08-06 09:42:22,781.52,4.47,0.0025,0.981,0.699,123.1,2,52.9,False,0.3
2025-08-06 09:47:22,781.97,4.24,0.0031,0.914,0.716,111.4,1,54.9,False,0.3
2025-08-06 09:52:22,681.76,4.75,0.0027,0.914,0.689,101.4,3,58.3,False,0.3
2025-08-06 09:57:22,741.96,4.27,0.0024,0.784,0.646,93.6,0,47.0,False,0.0
2025-08-06 10:02:22,787.19,4.21,0.0029,0.755,0.638,98.1,1,47.8,False,0.0
2025-08-06 10:07:22,713.87,3.4,0.002,0.886,0.609,120.7,1,49.5,False,0.3
2025-08-06 10:12:22,659.53,3.05,0.002,0.885,0.649,103.0,3,51.0,False,0.3
2025-08-06 10:17:22,596.31,3.75,0.0023,0.798,0.569,86.5,1,50.2,False,0.0
2025-08-06 10:22:22,773.61,4.42,0.0017,0.777,0.566,91.2,0,44.2,False,0.0
2025-08-06 10:27:22,692.15,4.0,0.0026,0.787,0.62,93.2,2,48.9,False,0.0
2025-08-06 10:32:22,767.31,3.33,0.003,0.9,0.626,100.8,3,54.2,False,0.3
2025-08-06 10:37:22,729.64,4.73,0.003,0.78,0.663,98.4,0,48.7,False,0.0
2025-08-06 10:42:22,693.61,4.15,0.0024,0.844,0.612,103.0,2,49.8,False,0.3
2025-08-06 10:47:22,573.87,3.91,0.0026,0.902,0.699,118.2,0,49.6,False,0.3
2025-08-06 10:52:22,731.13,4.18,0.0023,0.78,0.663,95.0,2,51.0,False,0.0
2025-08-06 10:57:22,740.16,3.2,0.0027,0.894,0.678,110.9,0,57.5,False,0.3
2025-08-06 11:02:22,672.35,4.14,0.0016,0.758,0.627,93.1,2,44.9,False,0.0
2025-08-06 11:07:22,715.48,2.95,0.0015,0.771,0.614,92.3,0,43.9,False,0.0
2025-08-06 11:12:22,604.81,3.76,0.0029,0.743,0.605,90.5,1,46.5,False,0.0
2025-08-06 11:17:22,620.66,4.15,0.0027,0.772,0.638,93.9,0,47.5,False,0.0
2025-08-06 11:22:22,895.97,4.38,0.0018,0.678,0.585,93.2,0,43.5,False,0.0
2025-08-06 11:27:22,550.97,3.64,0.0021,0.752,0.691,98.9,3,47.9,False,0.0
2025-08-06 11:32:22,571.8,3.93,0.002,0.77,0.577,104.5,0,52.2,False,0.0
2025-08-06 11:37:22,733.52,3.61,0.0027,0.705,0.573,91.5,1,43.0,False,0.0
2025-08-06 11:42:22,549.83,3.47,0.003,0.848,0.592,86.0,2,51.2,False,0.3
2025-08-06 11:47:22,556.27,3.92,0.003,0.693,0.58,80.0,0,48.1,False,0.0
2025-08-06 11:52:22,580.38,4.08,0.0029,0.732,0.594,78.7,1,56.2,False,0.0
2025-08-06 11:57:22,571.09,3.21,0.0029,0.806,0.626,104.2,1,51.2,False,0.3
2025-08-06 12:02:22,509.06,3.5,0.002,0.655,0.599,81.0,1,48.9,False,0.0
2025-08-06 12:07:22,434.84,3.7,0.0021,0.649,0.54,81.9,2,50.3,False,0.0
2025-08-06 12:12:22,514.25,2.86,0.0023,0.628,0.604,79.9,2,47.6,False,0.0
2025-08-06 12:17:22,523.58,3.73,0.0032,0.728,0.604,100.3,1,50.1,False,0.0
2025-08-06 12:22:22,726.87,3.95,0.0022,0.635,0.563,88.1,3,46.4,False,0.0
